No.,sp.complex,community,subspecies,taxa,wspClade,elevation,site,breeding system,lat,long,sample elevation,taxonDegs
119,itoana,microdictya,microdictya,BruMic036,wspC7,2700,Bruno Sawmill,monoecious,-5.804675,145.165715,2414,mic
120,itoana,microdictya,microdictya,BruMic038,wspC7,2700,Bruno Sawmill,monoecious,-5.804862,145.165641,2495,mic
121,itoana,microdictya,microdictya,BruMic049,noWol,2700,Bruno Sawmill,monoecious,-5.813464,145.154018,2628,mic
122,itoana,microdictya,microdictya,BruMic050,noWol,2700,Bruno Sawmill,monoecious,-5.812357,145.153782,2621,mic
123,itoana,microdictya,microdictya,BruMic36R,noWol,2700,Bruno Sawmill,monoecious,-5.804675,145.165715,2414,mic
124,itoana,microdictya,microdictya,BruMic37,wspC7,2700,Bruno Sawmill,monoecious,-5.80481,145.165585,2478,mic
125,itoana,microdictya,microdictya,BruMic37R,wspC7,2700,Bruno Sawmill,monoecious,-5.80481,145.165585,2478,mic
126,itoana,microdictya,microdictya,BruMic40b,wspC7,2700,Bruno Sawmill,monoecious,-5.805113,145.165491,2489,mic
127,itoana,microdictya,microdictya,BruMic41c,wspC7,2700,Bruno Sawmill,monoecious,-5.805514,145.165393,2515,mic
128,itoana,microdictya,microdictya,BruMic42,wspC7,2700,Bruno Sawmill,monoecious,-5.805576,145.165371,2502,mic
130,itoana,microdictya,microdictya,BruMic45R,wspC7,2700,Bruno Sawmill,monoecious,-5.805874,145.165278,2508,mic
129,itoana,microdictya,microdictya,BruMic45c,wspC7,2700,Bruno Sawmill,monoecious,-5.805874,145.165278,2508,mic
131,itoana,microdictya,microdictya,BruMic46,noWol,2700,Bruno Sawmill,monoecious,-5.805958,145.164977,2538,mic
132,itoana,microdictya,microdictya,BruMic47b,wspC7,2700,Bruno Sawmill,monoecious,-5.80591,145.164856,2550,mic
134,itoana,microdictya,microdictya,BruMic49R,wspC7,2700,Bruno Sawmill,monoecious,-5.813464,145.154018,2628,mic
133,itoana,microdictya,microdictya,BruMic49bc,noWol,2700,Bruno Sawmill,monoecious,-5.813464,145.154018,2628,mic
135,itoana,microdictya,microdictya,BruMic50R,wspC7,2700,Bruno Sawmill,monoecious,-5.812357,145.153782,2621,mic
202,wassa,wassa,wassa,BruWas16,noWol,2700,Bruno Sawmill,dioecious,-5.814129,145.162785,2466,was1
203,wassa,wassa,wassa,BruWas19,wspC1,2700,Bruno Sawmill,dioecious,-5.813984,145.162903,2477,was1
204,wassa,wassa,wassa,BruWas21,wspC1,2700,Bruno Sawmill,dioecious,-5.813989,145.162832,2467,was1
205,wassa,wassa,wassa,BruWas21R,wspC1,2700,Bruno Sawmill,dioecious,-5.813989,145.162832,2467,was1
206,wassa,wassa,wassa,BruWas25b,wspC1,2700,Bruno Sawmill,dioecious,-5.814016,145.163126,2461,was1
1,arfarkensis,arfarkensis,arfarkensis,DegAfa050,wspC2,1700,Degenumbu,dioecious,-5.765761,145.201633,1686,arf1
2,arfarkensis,arfarkensis,arfarkensis,DegAfa050_rep,wspC2,1700,Degenumbu,dioecious,-5.765761,145.201633,1686,arf1
3,arfarkensis,arfarkensis,arfarkensis,DegAfa051,noWol,1700,Degenumbu,dioecious,-5.766441,145.201903,1689,arf1
4,arfarkensis,arfarkensis,arfarkensis,DegAfa076,wspC2,1700,Degenumbu,dioecious,-5.7646,145.2001,1767,arf1
5,arfarkensis,arfarkensis,arfarkensis,DegAr76,wspC2,1700,Degenumbu,dioecious,-5.7646,145.2001,1767,arf1
6,arfarkensis,arfarkensis,arfarkensis,DegArf52,noWol,1700,Degenumbu,dioecious,-5.762146,145.199405,1869,arf1
7,arfarkensis,arfarkensis,arfarkensis,DegArf52R,noWol,1700,Degenumbu,dioecious,-5.762146,145.199405,1869,arf1
8,arfarkensis,arfarkensis,arfarkensis,DegArf53,wspC2,1700,Degenumbu,dioecious,-5.763458,145.200711,1799,arf1
9,arfarkensis,arfarkensis,arfarkensis,DegArf59,wspC2,1700,Degenumbu,dioecious,-5.765225,145.198797,1773,arf1
10,arfarkensis,arfarkensis,arfarkensis,DegArf59R,noWol,1700,Degenumbu,dioecious,-5.765225,145.198797,1773,arf1
11,arfarkensis,arfarkensis,arfarkensis,DegArf60R,noWol,1700,Degenumbu,dioecious,-5.764918,145.199006,1761,arf1
65,itoana,imi,umbrae,DegImi001,noWol,1700,Degenumbu,gynomonoecious,-5.762091,145.199586,1829,imi
66,itoana,imi,umbrae,DegImi001b,noWol,1700,Degenumbu,gynomonoecious,-5.762091,145.199586,1829,imi
67,itoana,imi,umbrae,DegImi002,noWol,1700,Degenumbu,gynomonoecious,-5.762947,145.200333,1828,imi
68,itoana,imi,umbrae,DegImi005,wspC7,1700,Degenumbu,gynomonoecious,-5.764882,145.201994,1737,imi
69,itoana,imi,umbrae,DegImi007,noWol,1700,Degenumbu,gynomonoecious,-5.765588,145.201762,1697,imi
70,itoana,imi,umbrae,DegImi009,noWol,1700,Degenumbu,gynomonoecious,-5.762255,145.199986,1856,imi
71,itoana,imi,umbrae,DegImi009b,noWol,1700,Degenumbu,gynomonoecious,-5.762255,145.199986,1856,imi
72,itoana,imi,umbrae,DegImi010,noWol,1700,Degenumbu,gynomonoecious,-5.761706,145.197364,1839,imi
73,itoana,imi,umbrae,DegImi011,noWol,1700,Degenumbu,gynomonoecious,-5.761532,145.197633,1888,imi
74,itoana,imi,umbrae,DegImi012,noWol,1700,Degenumbu,gynomonoecious,-5.764753,145.20216,1758,imi
75,itoana,imi,umbrae,DegImi013,noWol,1700,Degenumbu,gynomonoecious,-5.766268,145.202798,1645,imi
78,itoana,imi,umbrae,DegImi10R,noWol,1700,Degenumbu,gynomonoecious,-5.761706,145.197364,1839,imi
76,itoana,imi,umbrae,DegImi10b,noWol,1700,Degenumbu,gynomonoecious,-5.761706,145.197364,1839,imi
77,itoana,imi,umbrae,DegImi10c,noWol,1700,Degenumbu,gynomonoecious,-5.761706,145.197364,1839,imi
80,itoana,imi,umbrae,DegImi11R,noWol,1700,Degenumbu,gynomonoecious,-5.761532,145.197633,1888,imi
79,itoana,imi,umbrae,DegImi11c,noWol,1700,Degenumbu,gynomonoecious,-5.761532,145.197633,1888,imi
82,itoana,imi,umbrae,DegImi12R,noWol,1700,Degenumbu,gynomonoecious,-5.764753,145.20216,1758,imi
81,itoana,imi,umbrae,DegImi12b,noWol,1700,Degenumbu,gynomonoecious,-5.764753,145.20216,1758,imi
84,itoana,imi,umbrae,DegImi13R,noWol,1700,Degenumbu,gynomonoecious,-5.766268,145.202798,1645,imi
83,itoana,imi,umbrae,DegImi13c,noWol,1700,Degenumbu,gynomonoecious,-5.766268,145.202798,1645,imi
86,itoana,imi,umbrae,DegImi1R,noWol,1700,Degenumbu,gynomonoecious,-5.762091,145.199586,1829,imi
87,itoana,imi,umbrae,DegImi1Rb,noWol,1700,Degenumbu,gynomonoecious,-5.762091,145.199586,1829,imi
88,itoana,imi,umbrae,DegImi1Rc,noWol,1700,Degenumbu,gynomonoecious,-5.762091,145.199586,1829,imi
85,itoana,imi,umbrae,DegImi1c,noWol,1700,Degenumbu,gynomonoecious,-5.762091,145.199586,1829,imi
90,itoana,imi,umbrae,DegImi2R,noWol,1700,Degenumbu,gynomonoecious,-5.762947,145.200333,1828,imi
89,itoana,imi,umbrae,DegImi2b,noWol,1700,Degenumbu,gynomonoecious,-5.762947,145.200333,1828,imi
91,itoana,imi,umbrae,DegImi5R,noWol,1700,Degenumbu,gynomonoecious,-5.764882,145.201994,1737,imi
92,itoana,imi,umbrae,DegImi6R,noWol,1700,Degenumbu,gynomonoecious,-5.765385,145.201809,1708,imi
94,itoana,imi,umbrae,DegImi7R,noWol,1700,Degenumbu,gynomonoecious,-5.765588,145.201762,1697,imi
95,itoana,imi,umbrae,DegImi7Rb,noWol,1700,Degenumbu,gynomonoecious,-5.765588,145.201762,1697,imi
93,itoana,imi,umbrae,DegImi7c,noWol,1700,Degenumbu,gynomonoecious,-5.765588,145.201762,1697,imi
96,itoana,imi,umbrae,DegImi9R,noWol,1700,Degenumbu,gynomonoecious,-5.762255,145.199986,1856,imi
154,trichocerasa,pleioclada,pleioclada,DegTri017,wspC6,1700,Degenumbu,dioecious,-5.763508,145.200375,1772,ple1
155,trichocerasa,pleioclada,pleioclada,DegTri024,noWol,1700,Degenumbu,dioecious,-5.766246,145.203427,1666,ple1
156,trichocerasa,pleioclada,pleioclada,DegTri025,wspC6,1700,Degenumbu,dioecious,-5.762427,145.197484,1821,ple1
157,trichocerasa,pleioclada,pleioclada,DegTri027,noWol,1700,Degenumbu,dioecious,-5.761937,145.197777,1825,ple1
159,trichocerasa,pleioclada,pleioclada,DegTri17Rb,wspC6,1700,Degenumbu,dioecious,-5.763508,145.200375,1772,ple1
158,trichocerasa,pleioclada,pleioclada,DegTri17c,noWol,1700,Degenumbu,dioecious,-5.763508,145.200375,1772,ple1
160,trichocerasa,pleioclada,pleioclada,DegTri18R,wspC6,1700,Degenumbu,dioecious,-5.763524,145.200641,1784,ple1
161,trichocerasa,pleioclada,pleioclada,DegTri19Rb,wspC6,1700,Degenumbu,dioecious,-5.76367,145.200706,1800,ple1
162,trichocerasa,pleioclada,pleioclada,DegTri20R,noWol,1700,Degenumbu,dioecious,-5.76433,145.201877,1762,ple1
163,trichocerasa,pleioclada,pleioclada,DegTri21,noWol,1700,Degenumbu,dioecious,-5.757944,145.183847,1805,ple1
164,trichocerasa,pleioclada,pleioclada,DegTri23,noWol,1700,Degenumbu,dioecious,-5.766561,145.20307,1636,ple1
166,trichocerasa,pleioclada,pleioclada,DegTri23R,wspC6,1700,Degenumbu,dioecious,-5.766561,145.20307,1636,ple1
165,trichocerasa,pleioclada,pleioclada,DegTri23b,noWol,1700,Degenumbu,dioecious,-5.766561,145.20307,1636,ple1
167,trichocerasa,pleioclada,pleioclada,DegTri24c,wspC6,1700,Degenumbu,dioecious,-5.766246,145.203427,1666,ple1
169,trichocerasa,pleioclada,pleioclada,DegTri25R,wspC6,1700,Degenumbu,dioecious,-5.762427,145.197484,1821,ple1
168,trichocerasa,pleioclada,pleioclada,DegTri25c,noWol,1700,Degenumbu,dioecious,-5.762427,145.197484,1821,ple1
172,trichocerasa,pleioclada,pleioclada,DegTri27R,wspC6,1700,Degenumbu,dioecious,-5.761937,145.197777,1825,ple1
170,trichocerasa,pleioclada,pleioclada,DegTri27b,noWol,1700,Degenumbu,dioecious,-5.761937,145.197777,1825,ple1
171,trichocerasa,pleioclada,pleioclada,DegTri27c,noWol,1700,Degenumbu,dioecious,-5.761937,145.197777,1825,ple1
207,wassa,wassa,wassa,DegWas023,wspC1,1700,Degenumbu,dioecious,-5.7639,145.1998,1784,was1
208,wassa,wassa,wassa,DegWas075,wspC1,1700,Degenumbu,dioecious,-5.762524,145.198408,1830,was1
209,wassa,wassa,wassa,DegWas63Rb,wspC1,1700,Degenumbu,dioecious,-5.762053,145.199443,1820,was1
210,wassa,wassa,wassa,DegWas71,noWol,1700,Degenumbu,dioecious,-5.766125,145.201691,1702,was1
12,arfarkensis,arfarkensis,arfarkensis,KauArf001,noWol,200,Kausi,dioecious,-5.737114,145.331945,194,arf4
13,arfarkensis,arfarkensis,arfarkensis,KauArf005,wspC3,200,Kausi,dioecious,-5.740844,145.332727,219,arf3
14,arfarkensis,arfarkensis,arfarkensis,KauArf010,wspC3,200,Kausi,dioecious,-5.736507,145.330017,210,arf3
15,arfarkensis,arfarkensis,arfarkensis,KauArf012b,noWol,200,Kausi,dioecious,-5.739924,145.333574,194,arf3
16,arfarkensis,arfarkensis,arfarkensis,KauArf013,noWol,200,Kausi,dioecious,-5.739694,145.334159,194,arf4
17,arfarkensis,arfarkensis,arfarkensis,KauArf014,noWol,200,Kausi,dioecious,-5.737329,145.334846,184,arf4
18,arfarkensis,arfarkensis,arfarkensis,KauArf015,wspC3,200,Kausi,dioecious,-5.738578,145.330664,232,arf3
19,arfarkensis,arfarkensis,arfarkensis,KauArf10R,wspC3,200,Kausi,dioecious,-5.736507,145.330017,210,arf3
20,arfarkensis,arfarkensis,arfarkensis,KauArf12R,wspC3,200,Kausi,dioecious,-5.739924,145.333574,194,arf3
21,arfarkensis,arfarkensis,arfarkensis,KauArf13R,noWol,200,Kausi,dioecious,-5.739694,145.334159,194,arf3
22,arfarkensis,arfarkensis,arfarkensis,KauArf14R,noWol,200,Kausi,dioecious,-5.737329,145.334846,184,arf4
23,arfarkensis,arfarkensis,arfarkensis,KauArf15R,noWol,200,Kausi,dioecious,-5.738578,145.330664,232,arf3
25,arfarkensis,arfarkensis,arfarkensis,KauArf1R,noWol,200,Kausi,dioecious,-5.737114,145.331945,194,arf4
24,arfarkensis,arfarkensis,arfarkensis,KauArf1b,noWol,200,Kausi,dioecious,-5.737114,145.331945,194,arf4
26,arfarkensis,arfarkensis,arfarkensis,KauArf4R,noWol,200,Kausi,dioecious,-5.740109,145.333291,203,arf4
28,arfarkensis,arfarkensis,arfarkensis,KauArf5R,noWol,200,Kausi,dioecious,-5.740844,145.332727,219,arf3
27,arfarkensis,arfarkensis,arfarkensis,KauArf5c,noWol,200,Kausi,dioecious,-5.740844,145.332727,219,arf3
29,arfarkensis,arfarkensis,arfarkensis,KauArf7Rb,noWol,200,Kausi,dioecious,-5.739647,145.331837,222,arf4
31,arfarkensis,arfarkensis,arfarkensis,KauArf9R,wspC3,200,Kausi,dioecious,-5.738644,145.331158,191,arf3
30,arfarkensis,arfarkensis,arfarkensis,KauArf9c,noWol,200,Kausi,dioecious,-5.738644,145.331158,191,arf3
211,wassa,wassa,wassa,KauWas028,noWol,200,Kausi,dioecious,-5.733606,145.331659,180,was2
212,wassa,wassa,wassa,KauWas029,noWol,200,Kausi,dioecious,-5.733688,145.332652,180,was2
213,wassa,wassa,wassa,KauWas031,noWol,200,Kausi,dioecious,-5.732807,145.333658,168,was2
214,wassa,wassa,wassa,KauWas032,noWol,200,Kausi,dioecious,-5.733058,145.333161,171,was2
215,wassa,wassa,wassa,KauWas032b,noWol,200,Kausi,dioecious,-5.733058,145.333161,171,was2
216,wassa,wassa,wassa,KauWas033,noWol,200,Kausi,dioecious,-5.738176,145.3286,237,was2
217,wassa,wassa,wassa,KauWas034,noWol,200,Kausi,dioecious,-5.733196,145.333037,180,was2
218,wassa,wassa,wassa,KauWas2,noWol,1200,Memeku,dioecious,-5.747983,145.238483,1090,was2
220,wassa,wassa,wassa,KauWas22R,noWol,200,Kausi,dioecious,-5.733474,145.331843,180,was2
219,wassa,wassa,wassa,KauWas22c,noWol,1200,Memeku,dioecious,-5.743686,145.243794,1063,was2
221,wassa,wassa,wassa,KauWas24R,noWol,200,Kausi,dioecious,-5.733887,145.332774,182,was2
222,wassa,wassa,wassa,KauWas25c,noWol,200,Kausi,dioecious,-5.733465,145.332949,179,was2
223,wassa,wassa,wassa,KauWas26R,noWol,200,Kausi,dioecious,-5.733132,145.332139,177,was2
224,wassa,wassa,wassa,KauWas27Rb,noWol,200,Kausi,dioecious,-5.733689,145.331541,181,was2
225,wassa,wassa,wassa,KauWas28R,noWol,200,Kausi,dioecious,-5.733606,145.331659,180,was2
226,wassa,wassa,wassa,KauWas29R,noWol,200,Kausi,dioecious,-5.733688,145.332652,180,was2
